DOI,Field,Subfield,First_Author_Country,Publication_Day,Publication_Month,Publication_Year,Data_Generated,Data_Section_Text_Generated,Data_Shared,Data_Section_Text_Shared,Data_Location,Data_Sharing_Accessions,Data_Sharing_URLs,Data_Sharing_DOIs,Data_Sharing_Repositories,DAS,Code_Generated,Code_Section_Text_Generated,Code_Shared,Code_Section_Text_Shared,Code_Location,Code_Sharing_URLs,Code_Sharing_Repositories,Preprint_Match,Preprint_DOI,Preprint_Day,Preprint_Month,Preprint_Year,Preprint_URL,Preprint_Server
10.1126/science.aab2661,Environmental Science,Ecology,Sweden,12,9,2024,Yes,Method,Yes,DA,"Supplementary Material,Online","cp076684.1, prjna731154, cp076686.1, samn19272548, samn19272546, samn19272545, cp076685.1, cp076682.1, samn19272547",https://doi.org/10.5061/dryad.xgxd254ps,10.5061/dryad.xgxd254ps,"NCBIBiosample, BioProject, BioSample, NCBIBioproject, DryadDigitalRepository, Genbank",Data and materials availability,Yes,"DA,Method,fulltext",Yes,"MM,DA",Online,https://zenodo.org/records/10809049,NA,Yes,10.1101/2023.12.08.570822,11,12,2023,https://doi.org/10.1101/2023.12.08.570822,bioRxiv
10.1126/science.aav0780,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,1,7,2021,Yes,Method,Yes,"Method,DA",Online,NA,https://github.com/bpteague/cytoflow,NA,Github,Data and materials availability,No,NA,Yes,MM,Online,https://github.com/bpteague/cytoflow,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaw1974,Engineering,Biomedical Engineering,Canada,28,4,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaw9021,Medicine,Oncology,Switzerland,6,1,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax2537,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,11,2,2021,Yes,fulltext,Yes,DA,Online,prjna670687,NA,NA,"NCBIBioproject, BioProject",Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,Yes,10.1101/358622,29,6,2018,https://doi.org/10.1101/358622,bioRxiv
10.1126/science.aax2656,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Israel,28,1,2021,Yes,fulltext,Yes,DA,Online,prjna663046,NA,NA,"NCBIBioproject, BioProject, Sequence Read Archive, SRA",Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,Yes,10.1101/2020.05.13.094268,15,5,2020,https://doi.org/10.1101/2020.05.13.094268,bioRxiv
10.1126/science.aax3972,Physics and Astronomy,Astronomy and Astrophysics,Australia,13,5,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax5776,Chemical Engineering,Catalysis,China,15,7,2021,Yes,Method,Yes,DA,Online,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax8819,Immunology and Microbiology,Immunology,United Kingdom,28,1,2021,Yes,fulltext,Yes,DA,Online,gse158835,NA,NA,"GeneExpressionOmnibus, Gene Expression Omnibus",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,Yes,10.1101/661397,14,6,2019,https://doi.org/10.1101/661397,bioRxiv
10.1126/science.aax9050,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,Germany,25,3,2021,Yes,fulltext,Yes,DA,Online,"rmond2011, aakgc010000000, aalha000000000, aalha010000000, mt225528, aakgc000000000",NA,10.6084/m9.figshare.12098304.v1,"Genbank, figshare",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay1513,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",China,17,6,2021,Yes,Method,Yes,"Method,fulltext,DA",Online,prjna543996,NA,10.17632/5fn7sm52mr.1,"Genbank, NCBIBioproject, BioProject, MendeleyData",Data and materials availability,Yes,Method,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay1833,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,21,1,2021,Yes,Method,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.1101/629576,7,5,2019,https://doi.org/10.1101/629576,bioRxiv
10.1126/science.aay2784,Materials Science,Materials Chemistry,United States of America,5,3,2021,Yes,Method,Yes,"Method,DA",Online,NA,"https://doi.org/10.5061/dryad.3ffbg79h2, https://doi.org/10.5281/zenodo.1175608","10.5061/dryad.3ffbg79h2, 10.5281/zenodo.1175608","DryadDigitalRepository, Zenodo",Data and materials availability,Yes,"DA,Method",Yes,"MM,DA",Online,NA,NA,No,NA,NA,NA,NA,NA,NA
