doi,article_id,article_type,publication_date,oa_is_oa,oa_status,oa_fulltext
10.1126/science.abj8754,hW3186179742,article,2021-07-15,TRUE,green,TRUE
10.1126/science.ade2574,hW4327550249,article,2023-03-16,TRUE,hybrid,FALSE
10.1126/science.abf0529,hW4221115671,article,2022-03-17,TRUE,green,TRUE
10.1126/science.abj6987,hW4220999759,article,2022-03-31,TRUE,green,TRUE
10.1126/science.abf4063,hW3121008609,article,2021-01-06,TRUE,hybrid,TRUE
10.1126/science.abf1581,hW3171967633,review,2021-06-10,FALSE,closed,FALSE
10.1126/science.abg5433,hW3177287813,review,2021-07-01,FALSE,closed,FALSE
10.1126/science.abg3055,hW3134208712,article,2021-03-03,TRUE,hybrid,TRUE
10.1126/science.adg7492,hW4386861232,article,2023-09-19,FALSE,closed,FALSE
10.1126/science.abj8222,hW4205972999,article,2022-01-14,FALSE,closed,FALSE
10.1126/science.abl4784,hW3189646261,article,2021-11-02,TRUE,bronze,FALSE
10.1126/science.abn7950,hW4295088938,article,2022-09-08,TRUE,green,TRUE
10.1126/science.aaz8541,hW3191171424,review,2021-08-05,TRUE,green,TRUE
10.1126/science.abg9065,hW4210795660,review,2022-02-03,TRUE,green,TRUE
10.1126/science.add2187,hW4296032638,article,2022-09-15,TRUE,green,TRUE
10.1126/science.abg1487,hW3165805510,review,2021-05-27,FALSE,closed,FALSE
10.1126/science.abf3363,hW3126208996,article,2021-02-04,TRUE,green,TRUE
10.1126/science.abd9149,hW3194080835,review,2021-08-26,TRUE,hybrid,TRUE
10.1126/science.abh2644,hW3156343712,article,2021-04-14,TRUE,hybrid,TRUE
10.1126/science.abe5041,hW3126538505,article,2021-02-11,TRUE,green,TRUE
10.1126/science.abp8873,hW4288425348,article,2022-07-28,FALSE,closed,FALSE
10.1126/science.adg7879,hW4318263917,editorial,2023-01-26,TRUE,bronze,FALSE
10.1126/science.abe6474,hW4200468913,article,2021-12-16,FALSE,closed,FALSE
10.1126/science.abh1885,hW4206188804,article,2022-01-20,TRUE,green,TRUE
10.1126/science.adh2586,hW4384154918,article,2023-07-13,FALSE,closed,FALSE
10.1126/science.abg6582,hW3165555416,article,2021-06-03,TRUE,green,TRUE
10.1126/science.abc4552,hW3138215020,review,2021-03-25,TRUE,green,TRUE
10.1126/science.aay9040,hW4220903131,article,2022-03-17,FALSE,closed,FALSE
10.1126/science.adm9474,hW4394728226,article,2024-04-11,TRUE,green,TRUE
10.1126/science.abg6320,hW3202301083,article,2021-10-08,FALSE,closed,FALSE
10.1126/science.abo2380,hW4289782010,review,2022-08-04,FALSE,closed,FALSE
10.1126/science.abm0594,hW4206716689,article,2022-01-06,TRUE,green,TRUE
10.1126/science.abm3425,hW3217661335,article,2022-01-06,TRUE,green,TRUE
10.1126/science.abe1292,hW3132908145,article,2021-02-19,FALSE,closed,FALSE
10.1126/science.abl5197,hW4280596398,article,2022-05-12,TRUE,bronze,TRUE
10.1126/science.adi2336,hW4388654737,article,2023-11-14,TRUE,hybrid,FALSE
10.1126/science.abf4588,hW3142226569,article,2021-04-15,TRUE,green,TRUE
10.1126/science.adl2746,hW4402625926,review,2024-09-19,TRUE,green,TRUE
10.1126/science.abi5484,hW3178383845,article,2021-07-09,FALSE,closed,FALSE
10.1126/science.abf9419,hW4205511851,review,2022-01-06,FALSE,closed,FALSE
10.1126/science.adg3755,hW4367173694,article,2023-04-27,FALSE,closed,FALSE
10.1126/science.add8643,hW4317437864,review,2023-01-19,FALSE,closed,FALSE
10.1126/science.abm8566,hW4224247759,article,2022-04-21,FALSE,closed,FALSE
10.1126/science.abl4896,hW4280598116,article,2022-05-12,TRUE,gold,NA
10.1126/science.abg0291,hW4200328553,article,2021-12-16,FALSE,closed,FALSE
10.1126/science.abn3103,hW4225986862,review,2022-04-07,FALSE,closed,FALSE
10.1126/science.abn4947,hW4220987557,article,2022-03-15,TRUE,green,TRUE
10.1126/science.abi7281,hW4200535306,article,2021-12-16,FALSE,closed,FALSE
10.1126/science.abm0829,hW3206370075,article,2021-10-15,TRUE,bronze,TRUE
10.1126/science.abg7217,hW3199074476,article,2021-09-23,FALSE,closed,FALSE
10.1126/science.abn1818,hW4213197835,article,2022-02-17,TRUE,bronze,FALSE
10.1126/science.abe0722,hW3122270904,review,2021-01-28,TRUE,green,TRUE
10.1126/science.abl5676,hW4210727748,article,2022-01-27,FALSE,closed,FALSE
10.1126/science.abi6323,hW3196046854,article,2021-08-19,TRUE,green,TRUE
10.1126/science.aaz7015,hW4200001874,article,2021-12-23,TRUE,green,TRUE
10.1126/science.abd3230,hW3092934498,article,2021-05-27,TRUE,green,TRUE
10.1126/science.abf9302,hW3125266951,article,2021-01-25,TRUE,hybrid,TRUE
10.1126/science.aba4658,hW3128638349,review,2021-02-04,FALSE,closed,FALSE
10.1126/science.abe6959,hW3123021790,article,2021-01-21,TRUE,hybrid,TRUE
10.1126/science.abj9980,hW3206986155,article,2021-10-22,FALSE,closed,FALSE
10.1126/science.abk2432,hW4214861448,article,2022-03-03,TRUE,green,TRUE
10.1126/science.adl2528,hW4392544734,article,2024-03-07,TRUE,hybrid,FALSE
10.1126/science.abi8794,hW3216297445,article,2021-12-02,TRUE,green,TRUE
10.1126/science.abm5784,hW4213346436,article,2022-03-31,TRUE,green,TRUE
10.1126/science.abf7117,hW3130788486,article,2021-02-25,TRUE,green,TRUE
10.1126/science.abm8108,hW4221026046,review,2022-03-10,TRUE,green,TRUE
10.1126/science.abh4455,hW3172191503,article,2021-06-10,TRUE,green,TRUE
